ÃÄ«~¥N½X,¦³®Ä¤é´Á(°_),¦³®Ä¤é´Á(¨´),ÃÄ«~ª¬ºA,°Ó«~¤¤¤å¦WºÙ,°Ó«~­^¤å¦WºÙ,°Ó«~¾Ç¦W,³~®|,ÀW²v,ÃÄ²z¤ÀÃþ1,ÃÄ²z¤ÀÃþ2,¾¯«¬,¦¸³æ¦ì¾¯¶q,³q¥Î°Ó«~¦W,²Õ®Mµù°O,DCµù°O,DC´À¥NÃÄ,Á{±Äµù°O,¥i°hÃÄ,ÃÄ¥]¾÷,°·«O­­¨î,ÃÄÅÒ¦C¦Lµù°O,ÃÄ«~¶i¦ìµù°O,¾AÀ³¯g(¤¤)1,¾AÀ³¯g(¤¤)2,¾AÀ³¯g(­^)1,¾AÀ³¯g(­^)2,¥~Æ[(¤¤),¥~Æ[(­^),°Æ§@¥Î(¤¤),°Æ§@¥Î(­^),ºÞ¨î§Ü¥Í¯ÀÃþ§O,ªù¦í¶E¨Ï¥Îµù°O,¤¤¤å°Ó«~¦W,¼ÐÅÒ°Ó«~¦W,¬Ì­]ºØÃþ,¥»°|­­¨î,¶^­Ë°ª­·ÀIÃÄª«,»ó­GºÞ¥i¥Î,­¹ª«¥æ¤¬§@¥Î,Äµ»y(¤¤)1,Äµ»y(¤¤)2,Äµ»y(­^)1,Äµ»y(­^)2,³Æ¥ÎÄæ,³Æµù(­^),ÃÄ§½¤º³¡·¾³qMEMO,¯S®íÃÄ¨ÆªA°È¶O,³B¤èÅÒ¦C¦L¤ÀÃþ,Äµ»y,°ªÄµ°T,¾¯«¬´£¥Ü,³Ì¤jìH­È,³Ì¤pìH­È,»ÝªþªÅ°w,¥]¸Ë¶q,ÂIºw,¶E¶¡´£¥Ü,©T©w³~®|­­¨î,©T©wÀW²v­­¨î,ÃÄ«~¦¨¤Àµù°O,µoÃÄ½Ã±Ð,³s³B¦^§åµù°O,³s³B¶}¥ß­­¨î,¿i¯»µù°O,UD·|¹L±b,ÃÄ§½Àx¦ì,ªù¶E¨C¦¸¶q,¦í°|¨C¦¸¶q,ªù¶E¨C¦¸¶q³Ì¤j¶q,¦í°|¨C¦¸¶q³Ì¤j¶q,ªù¶E³Ì¤jµ¹ÃÄ¤Ñ¼Æ,¦í°|³Ì¤jµ¹ÃÄ¤Ñ¼Æ,ªù¶E¹w³]ªA¥Î¤Ñ¼Æ,¦í°|¹w³]ªA¥Î¤Ñ¼Æ,ªù¶E¨C¤é³Ì¤j¶q,¦í°|¨C¤é³Ì¤j¶q,ªù¦í¤p¨à¨C¤é·¥¶q/kg,ªù¦í¤p¨à¨C¦¸·¥¶q/kg,¨C¦¸¦í°|³Ì¤jÁ`¶q,¹Ï¤ù,¤p¨à°®¯»µ}ÄÀ²G,¤p¨à¾¯¶q´«ºâ1,¤p¨à¾¯¶q´«ºâ2,¤p¨à¾¯¶q´«ºâ3,¤p¨à¤é¾¯¶q«ØÄ³,ATC_CODE_1,ATC_CODE_2,ATC_CODE_3,ATC_CODE_4,ATC_CODE_5,DDD³æ¦ì¾¯¶q_­È,DDD³æ¦ì¾¯¶q_³æ¦ì,DDD_­È,DDD_³æ¦ì,­p»ù³æ¦ì,¨Æ«e¼f¬d,ªù¶Eµ¹¥I,¦í°|µ¹¥I,°·«O®Ö»ù¦¨¤À¦WºÙ,°·«OATC_CODE,°·«O¥N½X,¯S¶E°ê»ÚÂåÀø±M¥Î,HL7¾¯«¬¥N½X1,HL7¾¯«¬¥N½X2,¦M®`©ÊÃÄª«,ª`®g¾¯¦¸¤ÀÃþ,ª`®g¾¯¥]¸Ë¾¯¶q_­È,ª`®g¾¯¥]¸Ë¾¯¶q_³æ¦ì,¥]¸ËÅé¿n_­È,¥]¸ËÅé¿n_³æ¦ì,IVDµ}ÄÀ,¿éª`¼Ò¦¡,²§°Ê¤H­û,²§°Ê®É¶¡,°·«O»ù®æ,¦Û¶O»ù®æ
EAAO,20090401,99999999,°±¥Î,Alcos-Anal oint 20gm,Alcos-Anal oint 20gm,Sod Oleate + Poldocanol + Chlorocarvacrol,RECT,,ALIM,GI-08-00,¥~¥Î,¾A¶q,Alcos-Anal,«D²Õ®M,¼t°Ó¯Ê³f¡A¥i¬dÃþ¦üÃÄ,EXYL,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:²©½H,,Indication:Hemorrhoids; pruritus ani.,,¥~ Æ[:¥Õºñ¬Û¶¡³nºÞ,Appearance:20gm white/green tube,¼È®Éªº¨`¼ö·P,Transient burning,,¥u¥Î©óªù¶E¤Î¦í°|STAT,¯q²©±d³n»I,Alcos-Anal oint 20gm,,,§_,¬O,,¬°¥~¥ÎÃÄ«~¡A ½Ð§½³¡¨Ï¥Î¡A ¤Å±µÄ²²´·ú©Î»~ªA,,For external use. Avoid contact with the eyes or oral consumption.,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,³n»I,,,§_,99.0,,§_,¬O,§_,½Æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,9.00,9.00,999,999,1,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,C05AX03,C05BB02,,,,,,,,TUB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,CHLORCARVACROL 1MG/GM + SODIUM OLETATE 100MG/GM + THESIT(=POLIDOCANOL) 20MG/GM,C05AD,AC42844338,§_,LiquidLiquidEmulsion,RECOINT,,,,,,,,,PH047,202303141703,46.80,61.00
EAAS,19960101,99999999,¥i¥Î,Alcos-Anal ®ê¾¯,Alcos-Anal suppository,Sodium Oleate,RECT,,ALIM,GI-08-00,¥~¥Î,SUP,Alcos-Anal,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv¤º²©,,Indication:Hemorrhoids;internal piles,,¥~ Æ[:¥Õ¦â¥~¥]¸Ë¨zªù¥Î®ê¾¯¡A ¤W¦³alcos-anal¦r¼Ë,Appearance:White suppository,¼È®Éªº¨`¼ö·P,Transient burning,,¬Ò¥i¥Î,¯q²©±d®ê¾¯,Alcos-Anal suppository,,,§_,¬O,,¨zªù®ê¾¯½Ð¸m©ó25¢J¥H¤UÀx¦s¡A ¨Ã©ó­é¥~¥]¸Ë«á¨Ï¥Î,,Anal suppository. Store under 25¢XC in a dry place.,,,,,¤@¯ë,¤@¯ë,Äµ »y:¨zªù®ê¾¯½Ð¸m©ó25¢J¥H¤UÀx¦s¡A ¨Ã©ó­é¥~¥]¸Ë«á¨Ï¥Î,,®ê¾¯,,,§_,1.0,,§_,¬O,§_,½Æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,6.00,6.00,0,0,,¦³¹Ï¤ù,,0,,0,,C05BB02,,,,,,,,,SUP,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,CHLORCARVACROL 0.7MG + SODIUM OLETATE 200MG + THESIT(=POLIDOCANOL) 20MG,C05AD,AC43161500,§_,SolidDrugForm,RECSUPP,,,,,,,,,PH047,202303141703,5.00,7.00
EACG,20220607,99999999,¥i¥Î,Accu-Chek Guide 50 strips(Ã¹¤ó´¼¯è),Accu-Chek Guide test strips¡A 50 strips,Test Strips,EXT,ASORDER,ZOTH,MEDD,½Ã§÷,¤ù,Ã¹¤ó´¼¯è¦å¿}¸Õ¯È,«D²Õ®M,,,¤@¯ë¥i¥Î,§_,¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¥Î³~:·f°tÃ¹¤ó¦å¿}¾÷¨Ï¥Îªº¸Õ¯È,,Indication: Accu-Chek Guide system Test Strips,,¥~ Æ[:¯È²°¥]¸Ë,Appearance:Paper package box,,,,¥u¥Î©óªù¶E,Ã¹¤ó´¼¯è¦å¿}¸Õ¯È,Accu-Chek Guide 50 strips,,,,¬O,,¥´¶}¸Õ¯È²~»\®É½Ð«O«ùÂù¤â°®Àê¡A,¨ú¥X¸Õ¯È«á½Ð¥ß§Y»\ºò²~»\¡C,Keep hands dry when opening the test strip bottle cap.,Immediately close the bottle cap after removing the test strip.,½Ð¤Å§N­á¡BÁ×§K¼ÉÅS©ó°ª·Å¼éÀã³B¡C,Do not freeze. Avoid exposure to high temperatures and humidity.,2022.06¨ú¥N[EPER],¤@¯ë,¤@¯ë,,,,0,0,§_,50.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,5.00,5.00,90,30,1,1,5.00,5.00,0,0,,¦³¹Ï¤ù,,0,,0,,,,,,,0,,0,,¤ù,,°·«Oµ¹¥I,°·«Oµ¹¥I,,,TSS01000091R,§_,AdministrableDrugForm,APPFUL,,,0,,0,,,,PH022,202312221642,8.51,28.00
EACN,19960101,99999999,°±¥Î,Acne lotion 4% 100mL,Acne lotion 4% 100mL,Sulfur Precipitated,EXT,,TDER,DE-07-00,¥~¥Î,¾A¶q,Acne lotion,«D²Õ®M,°±¥Î,EBIO,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv«C¬Kµk¡A ¤òÅnª¢¡A ¦½´³¡A ¬Î½Hµ¥,,Indication:Acne¡A subacute & chronic dermatitis.,,¥~ Æ[: ¥Õ¦â100mL¥~²~,Appearance:100 mL white bottle,§½³¡¨ë¿E¡A ±µÄ²©Ê¥Ö½§ª¢¡A ¥Ö½§¹L±Ó©Êµoª¢,Irritation¡A contact skin inflammation¡A skin inflammation venenata,,¥u¥Î©óªù¶E¤Î¦í°|STAT,·RÃC¬~¾¯4%¡]¨H¾ý²¸¡^,Acne lotion,,,§_,¬O,,¬°¥~¥ÎÃÄ«~¡A ½Ð§½³¡¨Ï¥Î¡A ¤Å±µÄ²²´·ú©Î»~ªA,,For external use. Avoid contact with the eyes or oral consumption.,,³Æµù: ªvÀø´Á¶¡À³°µ¦n¨¾ÅÎ±¹¬I,Avoid exposure to sunlight or UV light.,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,LA ¥~Æ[¬Û¦ü,,,,§_,99.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,D10AB02,,,,,,,,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,LiquidLiquidEmulsion,TOPLTN,,,,,,,,,PH047,202303141703,0,39.00
EACR,20060630,99999999,°±¥Î,Acrinol soln 450mL,Acrinol soln 450mL,Ethacridine,EXT,,TDER,DE-01-00,¥~¥Î,BOT,,«D²Õ®M,¼t°Ó¯Ê³f,EACR5,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:±þµß®ø¬r,,Indication:Antiseptics & disinfectants.,,¥~ Æ[:²`¾ï¦â450mL¥~²~,,,,,¥u¥Î©óªù¶E¤Î¦í°|STAT,¶ÀÃÄ¤ô,Acrinol,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,B05CA08,D08AA01,,,,,,,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,TOPSOL,,,,,,,,,PH047,202303141635,0,88.00
EACR5,20141215,99999999,¥i¥Î,Acrinol solution 500mL,Acrinol solution 500mL,Acrinol,EXT,,TDER,DE-01-00,¥~¥Î,¾A¶q,,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:±þµß®ø¬r,,Indication:Antiseptics & disinfectants.,,¥~ Æ[:¥Õ¦â500mL¶ì½¦²~,Appearance: 500mL white plastic bottle.,¹L±Ó,Allergy,,¬Ò¥i¥Î,¶ÀÃÄ¤ô,Acrinol solution 500mL,,,,¬O,,¬°¥~¥ÎÃÄ«~¡A ½Ð§½³¡¨Ï¥Î¡A ¤Å±µÄ²²´·ú©Î»~ªA,,For external use. Avoid contact with the eyes or oral consumption.,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,0,0,§_,99.0,,§_,¬O,§_,³æ¤è,§_,°±¥Î,°±¥Î,¤£¥i¿i,§_,,1.00,1.00,9.00,9.00,999,999,7,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,D08AA01,,,,,0,,0,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,TOPSOL,,,,,,,,,PH047,202401111044,0,132.00
EACU,20020107,99999999,°±¥Î,Acure gel 0.1% 15gm,Acure gel 0.1% 15gm,Adapalene,EXT,,TDER,DE-07-00,¥~¥Î,TUB,Acure,«D²Õ®M,°±¥Î,EANE,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀø´M±`©ÊÚµ½H(«C¬Kµk¡B¯»¨ë),,Indication:Treatment of acne vulgaris.,,¥~ Æ[:ÂÅ¥Õ¦â³nºÞ¡A ¤W¦³Acure Gel¦r¼Ë,Appearance:White/blue tube,¥Ö½§¨`¼ö¡A ¨ëµh·P¡A °®Àê¡A ²æ¥Ö¡A Äo¡A ÅÜ¬õ,Burning sensation or stining of skin¡A dryness and peeling of skin¡A itching of sk,,¥u¥Î©óªù¶E¤Î¦í°|STAT,·R¥i¾®½¦,Acure gel,,,§_,¬O,,¥¥°ü¸T¤î¨Ï¥Î¥»ÃÄ«~¡A ¤Å±µÄ²²´¡B¤f©Î»óµÄ¡A ¨ÃÁ×§K¤éÅÎ,,Avoid during pregnancy. For external use; avoid exposure to sunlight.,,³Æµù: ªvÀø´Á¶¡À³°µ¦n¨¾ÅÎ±¹¬I,Avoid exposure to sunlight or UV light.,,¤@¯ë,¤@¯ë,Äµ »y:¥¥°ü¸T¤î¨Ï¥Î¥»ÃÄ«~¡A¤Å±µÄ²²´¡B¤f©Î»óµÄ¡A¨ÃÁ×§K¤éÅÎ,,,,,§_,99.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,9.00,9.00,999,999,7,7,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,D10AD03,,,,,,,,,TUB,,°·«Oµ¹¥I,°·«Oµ¹¥I,ADAPALENE,D10AD03,AC44573335,§_,LiquidSolidSuspension,TOPGEL,,,,,,,,,PH047,202303141635,68.00,85.00
EACUL,20070101,99999999,°±¥Î,Acular 0.5%¡A 5mL ophthalmic solution,Acular 0.5%¡A 5mL ophthalmic solution,Ketorolac,OU,,TOPH,OP-06-00,¥~¥Î,ºw,Acular oph,«D²Õ®M,°±¥Î,EKEL,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:½w¸Ñ²´³¡¹L±Ó·kÄo¡A ³N«á²´³¡µoª¢,,Indication:Relief itching¡A post-operative eyes inflammation,,¥~ Æ[:¥Õ¦â²`ÂÅ¦â¥~²°¡A¤W¦³ACULAR¦r¼Ë,Appearance:White/dark blue box¡A 5mL eye drop bottle,¼È®É©Ê¨ë¿E¨`¼ö·P¡A ¹L±Ó¤ÏÀ³,Transient stinging & burning¡A allergic reactions,,¬Ò¥i¥Î,·R§J¼Ö²´ÃÄ¤ô,Acular 0.5% ophthalmic soln,,,§_,¬O,,¥i¯à¦³¼È®É©Ê¤£¾A·P¡A °tÀ¹Áô§Î²´Ãè®É¤£¥i§ë¤©¥»«~,,Do not apply this medicine while you are wearing contact lenses.,,³Æµù: ­Y¦P®É¨Ï¥Î¨âºØ²´ÃÄ¤ô¡A ½Ð¶¡¹j5¤ÀÄÁ¡A ­YµLÂå®v«ü¥Ü¡A µL¥ý«á¨Ï¥Î¶¶§Ç,,,¤@¯ë,¤@¯ë,Äµ »y:¥i¯à¦³¼È®É©Ê¤£¾A·P¡A °tÀ¹Áô§Î²´Ãè®É¤£¥i§ë¤©¥»«~,,,,,§_,99.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,1.00,1.00,60,30,28,1,24.00,24.00,0,0,,¦³¹Ï¤ù,,0,,0,,S01BC05,,,,,,,,,BOT,,°·«Oµ¹¥I,°·«Oµ¹¥I,KETOROLAC,S01BC05,BC22653421,§_,AdministrableDrugForm,OPDROP,,,,,,,,,PH047,202303141635,86.00,108.00
EACZ,20161228,99999999,¥i¥Î,Aczo gel 50mg/gm¡A 10gm,Aczo gel 50mg/gm¡A 10gm,Benzoyl Peroxide,EXT,,TDER,DE-07-00,¥~¥Î,¾A¶q,Acne,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀø´M±`©ÊÚµ½H,,Indication:Treatment of acne vulgaris.,,¥~ Æ[:10¤½§J¥Õ¬õ¦â³nºÞ,Appearance:10gm white/red tube,¨ëµh·P¡A °®Àê¡A ²æ¥Ö,Stining of skin¡A dryness and peeling of skin,,¬Ò¥i¥Î,¶®­Y¾®½¦,Aczo gel 50mg/gm¡A 10gm,,,,¬O,,¶È­­©ó¥~¥Î; Á×§K±µÄ²²´·ú¡A²´Â¥¡A¼L®B¡A¤fµÄ©MÖß½¤¡C,¶î©Ù³¡¦ìÀ³Á×§K¤éÅÎ,Avoid contact with eye¡A eyelids¡A lips¡A mouth¡A and mucous membranes.,avoid exposure to sunlight.,¥»ÃÄ¬°®ñ¤Æ¾¯¡A·|¨ÏÀY¾v¿Æ¦â¡B¦çªA²æ¦â,The drug may bleach hair¡A colored fabric¡A or carpet.,105-4 ÃÄ©e·|³q¹L·s¶i,¤@¯ë,¤@¯ë,Äµ »y:¤Å±µÄ²²´¡B¤f¡B»óµÄµ¥ÂH½¤³¡¦ì¡A¨ÃÁ×§K¤éÅÎ,,,0,0,§_,99.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,9.00,9.00,999,999,7,7,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,D10AE01,,,,,0,,0,,TUB,,°·«Oµ¹¥I,°·«Oµ¹¥I,BENZOYL PEROXIDE,D10AE01,A034127329,§_,LiquidSolidSuspension,TOPGEL,,,,,,,,,PH022,202312221643,28.00,36.00
EAGNO3,19960101,99999999,°±¥Î,Silver nitrate 10%¡A 10mL,Silver nitrate 10%¡A 10mL,Silver Nitrate,EXT,,TDER,DE-11-00,¥~¥Î,¾A¶q,Silver Nitrate,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:±þµß¡B¨¾»G¡B¦¬ÀÄµ¥¥Î³~,,,,,,,,,¥u¥Î©óªù¶E¤Î¦í°|STAT,µv»Ä»È²G,Silver nitrate 10%¡A 10mL,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,,,,,,§_,99.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,999.00,999.00,999,999,1,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,D08AL01,,,,,,,,,BOT,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,TOPSOL,,,,,,,,,PH047,202303141635,0,438.00
EAGNO3P,20070322,99999999,°±¥Î,Silver nitrate powder 25gm,Silver nitrate powder 25gm,Silver Nitrate,EXT,,AGENT,,¥~¥Î,GM,Silver nitrate powder,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤£¦LÃÄÅÒ,Á`¶q¶i¦ì,¦Û»s»s¾¯­ì®Æ,,,,,,,,,¬Ò¥i¥Î,µv»Ä»È­ì®Æ,Silver nitrate powder 25gm,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,,,,,,§_,25.0,,§_,§_,¬O,³æ¤è,§_,°±¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,1.00,1.00,1,1,1,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,GM,,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,SolidDrugForm,POWD,,,,,,,,,PH047,202303141635,0,5760.00
EAIR,19960101,99999999,°±¥Î,Airol cream 0.05% 20gm,Airol cream 0.05% 20gm,Tretinoin,EXT,,TDER,DE-07-00,¥~¥Î,¾A¶q,Airol Cream,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤£¦LÃÄÅÒ,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv¯»¨ë¡B´M±`©ÊÚµ½Hµ¥,,,,,,,,,¥u¥Î©óªù¶E,,Airol cream 0.05% 20gm,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y:¥i¯à¦³¼È®É©Ê¤£¾A·P¡A °tÀ¹Áô§Î²´Ãè®É¤£¥i§ë¤©¥»«~,,,,,§_,99.0,,¬O,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,999.00,999.00,999,999,7,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,TUB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,RETINOIC ACID (=TRETINOIN),D10AD01,B022065338,§_,LiquidLiquidEmulsion,TOPCRM,,,,,,,,,PH047,202303141635,231.00,277.00
EAL0C9,19960101,99999999,°±¥Î,95% Alcohol,95% Alcohol,95% Alcohol,EXT,,TDER,DE-01-00,¥~¥Î,ML,Alcohol,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,EALC9,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:®ø¬r±þµß,,,,,,,,,,,95% Alcohol,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,999.00,999.00,999,999,1,1,99.00,99.00,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,CC,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,TOPSOL,,,,,,,,,PH047,202303141635,0,2.00
EALB,19960101,99999999,°±¥Î,Albothyl vag supp 90mg,Albothyl vag supp 90mg,Policresulen,VAG,Q2D,SGU,UR-01-00,¥~¥Î,V.T,Albotyl,«D²Õ®M,°±¥Î,EPOLI,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv¤l®cÀVª¢¡A ³±¹Dª¢¡A ¥Õ±aµ¥,,Indication:Local treatment of cervical & vag inflammatory,,¥~ Æ[:¥Õ¦â¥~¥]¸Ë³±¹D®ê¾¯¡A¤W¦³Albothyl¦r¼Ë,Appearance:Light orange vag supp,»´·L§½³¡¤£¾A,Mild local discomfort,,¬Ò¥i¥Î,¦w¥iªv³±¹D®ê¾¯(½Ð©óºÎ«e¨Ï¥Î),Albothyl vag supp,,,§_,¬O,,³±¹D®ê¾¯¸m©ó25¢J¥H¤UÀx¦s¡A ½Ð¥ý¥h°£¥~¥]¸Ë«á¦A¥Î,,Vaginal suppository¡A store under 25¢XC in a dry place.,,,,,¤@¯ë,¤@¯ë,Äµ »y:³±¹D®ê¾¯¸m©ó25¢J¥H¤UÀx¦s¡A ½Ð¥ý¥h°£¥~¥]¸Ë«á¦A¥Î,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,6,1,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,G01AX03,,,,,0,,0,,V.T,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,POLICRESULEN,G01AX03,BC16229500,§_,SolidDrugForm,VAGSUPP,,,,,,,,,PH047,202303141635,10.90,14.00
EALBS,20021004,99999999,°±¥Î,Albothyl solution,Albothyl solution,Policresulen,TOPI,,SGU,UR-01-00,¥~¥Î,ML,,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv¤l®cÀVª¢¡B³±¹Dª¢¡B¥Õ±aµ¥,,Indication:Local treatment of cervical & vag inflammatory,,,,,,,¥u¥Î©óªù¶E¤Î¦í°|STAT,¦w¥iªv¿@ÁY²G,Albothyl solution,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y: ¥»«~¬°¥~¥ÎÃÄ«~¡A½Ð§½³¡¨Ï¥Î¡A¤Å±µÄ²²´·ú©Î»~ªA¡C,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,§_,,0,0,0,0,0,0,0,0,999.00,999.00,0,0,,µL¹Ï¤ù,,0,,0,,G01AX03,,,,,,,,,ML,,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,Liquid,MUCTOPSOL,,,,,,,,,PH047,202303141635,0,10.00
